week,less65male_2010,less65female_2010,more65male_2010,more65female_2010,less65male_2011,less65female_2011,more65male_2011,more65female_2011,less65male_2012,less65female_2012,more65male_2012,more65female_2012,less65male_2013,less65female_2013,more65male_2013,more65female_2013,less65male_2014,less65female_2014,more65male_2014,more65female_2014,less65male_2015,less65female_2015,more65male_2015,more65female_2015,less65male_2016,less65female_2016,more65male_2016,more65female_2016,less65male_2017,less65female_2017,more65male_2017,more65female_2017,less65male_2018,less65female_2018,more65male_2018,more65female_2018,less65male_2019,less65female_2019,more65male_2019,more65female_2019,less65male_2020,less65female_2020,more65male_2020,more65female_2020
1,1112,842,4901,6112,1161,777,4737,5967,851,652,4028,4962,838,619,4538,5624,888,646,4510,5404,835,664,4822,5963,1086,761,5125,6073,902,621,4780,5686,909,659,5065,6088,854,618,4340,5143,818,636,5071,5728
2,1166,728,4726,5919,1277,893,4831,6126,992,738,4289,5271,1129,759,4761,5891,1026,713,4677,5429,1164,794,6249,8030,1083,694,4524,5196,1061,672,5482,6500,1151,802,5966,7131,1053,716,5119,5721,1104,747,5724,6482
3,1089,734,4409,5527,1127,738,4297,5276,949,599,3970,4875,1020,674,4216,5165,990,696,4309,5066,1063,720,5752,7331,1069,637,4563,5201,1058,690,5386,6476,1118,756,5667,6715,1095,685,4796,5284,1195,722,5235,5838
4,1040,685,4121,5209,1091,701,3943,4819,960,638,3992,4730,945,625,4362,5329,977,618,4087,4692,1097,689,5350,6798,1023,684,4466,5139,987,640,5131,6119,1152,680,5515,6588,1121,720,4782,5117,1076,668,4839,5270
5,1010,705,3990,4810,1011,716,3864,4644,951,652,3877,4637,945,671,4479,5219,1003,634,3974,4647,1067,716,4994,6123,1019,658,4378,4987,995,621,5062,5807,1057,741,5350,6137,1061,685,4543,5008,1086,635,4708,5183
6,1012,642,3920,4542,1010,658,3857,4493,987,630,3977,4692,973,637,4266,5168,1008,612,3952,4572,981,681,4785,5592,1033,735,4367,5019,1059,650,4777,5775,1045,663,5012,5770,1074,659,4713,5214,983,663,4423,4915
7,1019,674,3821,4588,1052,651,3718,4335,910,613,4121,4888,1045,705,4245,5033,964,645,4021,4556,997,680,4735,5410,1040,672,4208,4669,1013,665,4674,5292,1067,693,5018,5468,1035,708,4825,5256,988,641,4503,4816
8,1052,703,3833,4706,955,619,3592,4267,984,645,4285,5167,916,626,4199,5103,954,633,4180,4659,952,641,4495,5345,956,683,4352,5065,961,690,4634,5508,1071,640,4713,5718,1055,705,4588,4947,970,691,4469,4710
9,1027,637,3757,4558,981,666,3596,4210,998,667,4161,5113,1011,626,4156,4987,959,685,4058,4675,986,650,4495,5340,1046,660,4478,5099,932,649,4453,5211,944,595,4328,4987,961,663,4502,4918,965,676,4470,4704
10,987,679,3655,4467,986,613,3682,4367,952,624,3996,4933,933,709,4372,5228,947,616,3807,4457,984,595,4472,5416,1004,685,4454,4862,993,634,4441,5009,1043,680,5245,6029,1078,628,4465,4727,988,652,4470,4782
