date,less65male_2010,less65female_2010,more65male_2010,more65female_2010,less65male_2011,less65female_2011,more65male_2011,more65female_2011,less65male_2012,less65female_2012,more65male_2012,more65female_2012,less65male_2013,less65female_2013,more65male_2013,more65female_2013,less65male_2014,less65female_2014,more65male_2014,more65female_2014,less65male_2015,less65female_2015,more65male_2015,more65female_2015,less65male_2016,less65female_2016,more65male_2016,more65female_2016,less65male_2017,less65female_2017,more65male_2017,more65female_2017,less65male_2018,less65female_2018,more65male_2018,more65female_2018,less65male_2019,less65female_2019,more65male_2019,more65female_2019,less65male_2020,less65female_2020,more65male_2020,more65female_2020
jan.-1,255,106,617,730,219,112,708,780,253,107,643,810,225,103,685,861,209,130,627,735,207,110,725,835,232,90,645,794,215,123,877,991,220,113,770,924,197,112,744,786,197,115,718,875
jan.-2,231,116,596,735,240,118,628,824,233,114,632,776,213,114,677,868,219,112,647,802,208,90,812,862,214,102,693,788,225,110,885,1151,246,108,808,980,237,108,731,859,183,108,762,848
jan.-3,208,112,614,749,249,104,716,812,218,102,666,757,225,101,682,858,211,82,650,769,194,107,771,886,190,104,649,783,219,101,966,1067,185,107,863,982,222,111,730,817,225,116,720,893
jan.-4,252,125,623,748,226,113,679,796,203,106,663,790,212,95,695,801,157,96,635,805,194,95,700,867,252,104,649,830,207,100,882,1062,216,152,840,952,205,110,764,821,183,89,719,846
jan.-5,216,106,643,734,267,120,649,839,218,103,673,763,203,108,651,786,199,88,610,721,242,107,735,894,188,98,704,788,210,111,873,1078,227,91,807,977,198,109,769,845,185,94,669,803
jan.-6,202,118,672,762,214,128,719,852,223,123,636,748,192,120,606,788,219,101,730,736,193,97,728,830,204,93,726,776,230,113,839,1078,203,125,731,961,190,93,720,893,200,95,818,870
jan.-7,245,112,641,748,225,121,653,769,230,94,613,725,206,116,680,785,211,124,665,781,227,102,764,876,188,97,711,735,219,96,889,1035,208,100,755,945,221,121,743,899,204,104,758,930
jan.-8,213,104,698,721,215,94,660,807,199,126,609,779,230,100,698,775,196,108,650,732,207,116,696,901,197,107,657,760,189,126,865,1048,248,101,795,928,191,108,779,887,174,91,802,881
jan.-9,229,112,632,677,207,100,656,710,218,117,651,750,198,89,678,777,219,109,654,768,223,114,747,881,204,110,658,769,228,115,950,1086,220,95,782,963,196,103,788,885,188,95,812,880
jan.-10,213,100,668,751,245,94,667,753,227,120,644,785,198,124,724,822,189,116,606,788,198,119,714,905,187,101,690,767,236,99,943,1141,204,98,745,921,196,86,802,873,195,107,772,864
