date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,daily_covid_deaths
jan.-1,1708,1819,1813,1874,1701,1877,1761,2206,2027,1839,1905,
jan.-2,1678,1810,1755,1872,1780,1972,1797,2371,2142,1935,1901,
jan.-3,1683,1881,1743,1866,1712,1958,1726,2353,2137,1880,1954,
jan.-4,1748,1814,1762,1803,1693,1856,1835,2251,2160,1900,1837,
jan.-5,1699,1875,1757,1748,1618,1978,1778,2272,2102,1921,1751,
jan.-6,1754,1913,1730,1706,1786,1848,1799,2260,2020,1896,1983,
jan.-7,1746,1768,1662,1787,1781,1969,1731,2239,2008,1984,1996,
jan.-8,1737,1776,1713,1803,1686,1920,1721,2228,2072,1965,1948,
jan.-9,1650,1673,1736,1742,1750,1965,1741,2379,2060,1972,1975,
jan.-10,1732,1759,1776,1868,1699,1936,1745,2420,1968,1957,1938,
jan.-11,1788,1803,1686,1777,1693,1903,1834,2359,2034,1940,1866,
jan.-12,1820,1785,1716,1793,1562,1941,1753,2318,1995,2034,1789,
jan.-13,1796,1691,1692,1675,1755,1937,1764,2351,1991,1937,1826,
jan.-14,1790,1714,1648,1788,1725,1891,1772,2213,1923,1990,1943,
jan.-15,1728,1725,1642,1848,1636,1894,1819,2119,1846,1977,1904,
jan.-16,1694,1633,1738,1857,1685,1898,1771,2233,1989,2006,1881,
jan.-17,1577,1727,1820,1854,1742,1819,1703,2186,1992,1967,1849,
jan.-18,1692,1658,1766,1832,1642,1794,1775,2117,1935,1961,1768,
jan.-19,1730,1683,1688,1886,1592,1859,1811,2111,1959,1930,1738,
jan.-20,1741,1613,1709,1811,1671,1873,1879,2163,1923,1854,1795,
jan.-21,1675,1653,1662,1949,1631,1801,1813,2193,1968,1954,1815,
jan.-22,1689,1651,1742,1933,1666,1855,1783,2120,1891,2072,1803,
jan.-23,1651,1536,1736,1838,1554,1875,1847,2206,1864,2004,1790,
jan.-24,1652,1746,1731,1901,1668,1913,1654,2102,1898,1936,1855,
jan.-25,1715,1688,1663,1852,1645,1817,1782,2222,1882,2045,1811,
jan.-26,1641,1621,1702,1851,1538,1905,1705,2227,1825,2087,1762,
jan.-27,1684,1556,1666,1823,1644,2011,1800,2212,1784,2015,1883,
jan.-28,1673,1568,1616,1886,1699,1877,1748,2117,1735,2109,1818,
jan.-29,1708,1707,1626,1920,1638,2019,1798,2100,1820,2038,1868,
jan.-30,1610,1620,1650,1901,1666,2028,1666,2156,1835,2033,1773,
jan.-31,1684,1659,1702,1806,1570,2002,1709,2160,1831,2045,1850,
fev.-1,1674,1683,1674,1943,1673,1831,1769,2219,1772,2169,1740,
fev.-2,1689,1701,1665,1715,1639,1994,1806,2101,1791,2056,1845,
fev.-3,1705,1661,1723,1722,1727,2046,1774,2081,1751,1926,1884,
fev.-4,1630,1710,1790,1925,1708,2078,1712,2050,1792,2053,1874,
fev.-5,1676,1676,1770,1801,1566,2051,1723,1946,1888,2110,1750,
fev.-6,1716,1678,1849,1761,1719,2055,1714,2032,1896,2116,1814,
fev.-7,1590,1726,1901,1847,1670,2095,1602,2009,1865,2049,1826,
fev.-8,1659,1766,1788,1832,1676,2057,1722,2011,1826,2101,1802,
fev.-9,1645,1712,1875,1765,1648,2151,1712,1949,1865,2063,1710,
