week,less65male_2015,less65female_2015,more65male_2015,more65female_2015,less65male_2016,less65female_2016,more65male_2016,more65female_2016,less65male_2017,less65female_2017,more65male_2017,more65female_2017,less65male_2018,less65female_2018,more65male_2018,more65female_2018,less65male_2019,less65female_2019,more65male_2019,more65female_2019,less65male_2020,less65female_2020,more65male_2020,more65female_2020
01 - 01/01-11/01,392,273,2781,3416,373,229,2426,2872,409,244,3246,4095,442,233,2913,3694,361,223,2536,3107,343,226,2595,2908
02 - 12/01-18/01,253,149,1720,2101,231,168,1413,1825,266,146,2165,2602,267,156,1839,2192,259,128,1653,2146,276,133,1630,1911
03 - 19/01-25/01,235,165,1644,2148,236,148,1625,1799,216,154,1990,2489,223,146,1713,2078,198,153,1611,2092,226,144,1565,1902
04 - 26/01-01/02,247,166,1697,2186,222,153,1534,1908,263,132,1757,2286,235,177,1695,2069,254,134,1761,2112,230,141,1536,1931
05 - 02/02-08/02,288,167,1830,2178,211,138,1513,1679,241,149,1669,2142,229,154,1614,1975,231,163,1771,2187,208,142,1577,1908
06 - 09/02-15/02,249,156,1773,2258,246,120,1433,1877,225,126,1588,1954,221,119,1552,1867,258,157,1754,2188,237,119,1581,1892
07 - 16/02-22/02,240,128,1654,2099,219,140,1450,1696,200,136,1506,1893,232,147,1567,2061,259,142,1704,2100,195,135,1529,1882
08 - 23/02-29/02,193,122,1437,1714,207,146,1476,1746,199,126,1288,1649,226,114,1379,1561,191,111,1451,1680,"176,75","116,375",1393,"1715,875"
09 - 01/03-07/03,246,138,1565,1876,214,123,1413,1736,200,126,1420,1812,231,133,1605,1925,220,136,1561,1979,270,149,2171,2270
10 - 08/03-14/03,196,149,1505,1908,188,124,1402,1751,218,136,1447,1688,190,134,1526,1944,206,144,1418,1826,336,187,3319,3116
11 - 15/03-21/03,218,134,1503,1773,199,139,1445,1656,209,138,1447,1736,196,110,1421,1729,213,139,1447,1809,427,205,4494,4063
12 - 22/03-28/03,221,123,1362,1934,241,107,1377,1658,207,137,1343,1669,234,120,1411,1678,248,127,1430,1700,411,157,3970,4020
