week,less65male_2010,less65female_2010,more65male_2010,more65female_2010,less65male_2011,less65female_2011,more65male_2011,more65female_2011,less65male_2012,less65female_2012,more65male_2012,more65female_2012,less65male_2013,less65female_2013,more65male_2013,more65female_2013,less65male_2014,less65female_2014,more65male_2014,more65female_2014,less65male_2015,less65female_2015,more65male_2015,more65female_2015,less65male_2016,less65female_2016,more65male_2016,more65female_2016,less65male_2017,less65female_2017,more65male_2017,more65female_2017,less65male_2018,less65female_2018,more65male_2018,more65female_2018,less65male_2019,less65female_2019,more65male_2019,more65female_2019,less65male_2020,less65female_2020,more65male_2020,more65female_2020
1,263,178,1110,1216,275,197,1133,1312,237,186,1182,1325,224,176,963,1187,173,125,811,885,153,98,752,907,260,203,1305,1405,268,186,1408,1706,271,160,1286,1626,191,149,1059,1207,148,123,942,1029
2,266,200,1105,1259,267,211,1062,1279,276,192,1074,1231,278,185,1226,1349,256,178,1095,1290,240,203,1386,1600,246,199,1248,1382,238,180,1503,1716,240,166,1352,1601,274,188,1304,1496,253,179,1423,1509
3,276,205,1038,1327,259,184,995,1186,238,201,1084,1262,261,206,1197,1347,257,176,1059,1248,249,183,1352,1593,250,182,1259,1371,239,189,1400,1659,240,183,1380,1561,217,179,1303,1451,248,168,1277,1458
4,279,214,1117,1255,257,208,1020,1135,242,165,1044,1338,278,213,1229,1362,253,168,1084,1205,283,190,1318,1562,253,193,1266,1489,256,191,1423,1756,245,163,1405,1509,211,209,1333,1425,214,138,1252,1436
5,288,202,1097,1271,251,184,1076,1217,232,166,1131,1286,276,211,1265,1440,184,168,1110,1246,223,194,1292,1613,265,190,1267,1381,267,157,1430,1720,264,192,1295,1652,265,174,1313,1391,277,170,1296,1414
6,247,220,1089,1275,255,195,1050,1175,277,193,1199,1365,271,204,1229,1439,263,186,1112,1294,258,189,1305,1520,238,196,1207,1395,264,208,1369,1605,253,190,1387,1683,227,174,1363,1421,237,161,1351,1439
7,279,205,1062,1354,265,183,1037,1136,273,196,1194,1426,268,178,1205,1382,263,181,1070,1282,257,175,1307,1572,257,191,1164,1415,271,195,1356,1595,260,167,1520,1713,240,165,1339,1508,224,184,1282,1505
8,275,209,1098,1347,258,196,1041,1156,242,188,1195,1410,269,195,1272,1475,237,177,1056,1283,260,194,1329,1598,271,200,1314,1534,247,192,1311,1578,253,181,1497,1760,239,176,1291,1516,190,149,1290,1324
9,272,201,1027,1257,273,180,1051,1182,279,197,1131,1454,245,210,1242,1473,234,177,1065,1237,246,170,1258,1533,266,213,1251,1455,234,173,1277,1468,261,207,1607,1862,219,181,1243,1423,227,173,1271,1416
10,280,203,1054,1223,272,175,1032,1235,292,203,1099,1357,267,190,1276,1560,261,184,1056,1262,250,202,1254,1516,246,187,1269,1449,249,187,1232,1386,276,188,1628,2000,252,177,1329,1413,224,163,1286,1419
