date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,daily_covid_deaths
jan.-1,,,,,,,,,3343,,,
jan.-2,,,2773,,,,,3568,,,,
jan.-3,,2819,,,,,,,,,,
jan.-4,2830,,,,,,3173,,,,,
jan.-5,,,,,,3429,,,,,,
jan.-6,,,,,2819,,,,,,3364,
jan.-7,,,,3038,,,,,,3262,,
jan.-8,,,,,,,,,3359,,,
jan.-9,,,2785,,,,,3637,,,,
jan.-10,,2624,,,,,,,,,,
jan.-11,2846,,,,,,3075,,,,,
jan.-12,,,,,,3377,,,,,,
jan.-13,,,,,2740,,,,,,3151,
jan.-14,,,,3011,,,,,,3150,,
jan.-15,,,,,,,,,3364,,,
jan.-16,,,2789,,,,,3487,,,,
jan.-17,,2620,,,,,,,,,,
jan.-18,2865,,,,,,3062,,,,,
jan.-19,,,,,,3353,,,,,,
jan.-20,,,,,2710,,,,,,3040,
jan.-21,,,,3082,,,,,,3178,,
jan.-22,,,,,,,,,3322,,,
jan.-23,,,2815,,,,,3626,,,,
jan.-24,,2728,,,,,,,,,,
jan.-25,2858,,,,,,3201,,,,,
jan.-26,,,,,,3322,,,,,,
jan.-27,,,,,2708,,,,,,3157,
jan.-28,,,,3192,,,,,,3143,,
jan.-29,,,,,,,,,3403,,,
jan.-30,,,3034,,,,,3574,,,,
jan.-31,,2675,,,,,,,,,,
fev.-1,2831,,,,,,3103,,,,,
fev.-2,,,,,,3272,,,,,,
fev.-3,,,,,2855,,,,,,3188,
fev.-4,,,,3143,,,,,,3185,,
fev.-5,,,,,,,,,3513,,,
fev.-6,,,3089,,,,,3446,,,,
fev.-7,,2621,,,,,,,,,,
fev.-8,2900,,,,,,3036,,,,,
fev.-9,,,,,,3311,,,,,,
fev.-10,,,,,2796,,,,,,3195,
fev.-11,,,,3033,,,,,,3252,,
fev.-12,,,,,,,,,3660,,,
fev.-13,,,3035,,,,,3417,,,,
fev.-14,,2651,,,,,,,,,,
fev.-15,2929,,,,,,3027,,,,,
fev.-16,,,,,,3381,,,,,,
fev.-17,,,,,2753,,,,,,2953,
fev.-18,,,,3211,,,,,,3222,,
fev.-19,,,,,,,,,3691,,,
fev.-20,,,3061,,,,,3328,,,,
fev.-21,,2686,,,,,,,,,,
fev.-22,2757,,,,,,3319,,,,,
fev.-23,,,,,,3207,,,,,,
fev.-24,,,,,2713,,,,,,3087,
fev.-25,,,,3170,,,,,,3066,,
fev.-26,,,,,,,,,3937,,,
fev.-27,,,2951,,,,,3152,,,,
fev.-28,,2714,,,,,,,,,,
fev.-29,,,,,,,3185,,,,,
mar.-1,2760,,,,,,,,,,,
mar.-2,,,,,,3222,,,,,3092,
mar.-3,,,,,2763,,,,,,,
mar.-4,,,,3293,,,,,,3171,,
mar.-5,,,2891,,,,,,4092,,,
mar.-6,,,,,,,,3054,,,,1
mar.-7,,2727,,,,,3151,,,,,0
mar.-8,2686,,,,,,,,,,,2
mar.-9,,,,,,3086,,,,,3211,0
mar.-10,,,,,2770,,,,,,,1
mar.-11,,,,3039,,,,,,3227,,1
mar.-12,,,2817,,,,,,3733,,,0
mar.-13,,,,,,,,2843,,,,5
mar.-14,,2686,,,,,3062,,,,,2
mar.-15,2687,,,,,,,,,,,8
mar.-16,,,,,,3052,,,,,3593,4
mar.-17,,,,,2662,,,,,,,19
mar.-18,,,,3038,,,,,,3042,,15
mar.-19,,,2793,,,,,,3430,,,18
mar.-20,,,,,,,,2778,,,,30
mar.-21,,2739,,,,,3028,,,,,30
mar.-22,2586,,,,,,,,,,,43
mar.-23,,,,,,3084,,,,,4432,34
mar.-24,,,,,2690,,,,,,,63
mar.-25,,,,3067,,,,,,3013,,80
mar.-26,,,2805,,,,,,3225,,,78
mar.-27,,,,,,,,2850,,,,112
mar.-28,,2592,,,,,3037,,,,,93
mar.-29,2472,,,,,,,,,,,132
