,2014,,2015,,2016,,2017,,2018,,2019,,2020,
date,less65_2014,more65_2014,less65_2015,more65_2015,less65_2016,more65_2016,less65_2017,more65_2017,less65_2018,more65_2018,less65_2019,more65_2019,less65_2020,more65_2020
jan. 1,50,325,52,354,47,319,55,420,59,355,48,323,42,333
jan. 2,55,339,52,361,59,255,77,501,57,361,49,336,50,330
jan. 3,72,327,59,357,55,284,59,420,61,389,46,320,45,329
jan. 4,51,276,64,402,47,301,76,425,55,370,49,322,62,301
jan. 5,52,307,56,396,60,268,74,419,50,384,50,316,48,285
jan. 6,55,305,57,389,44,272,53,408,51,353,67,342,51,312
jan. 7,59,306,53,366,48,257,47,374,34,287,44,370,54,329
jan. 8,54,280,59,353,40,322,47,397,53,336,42,334,57,326
jan. 9,47,290,47,401,49,297,56,385,51,355,53,363,49,331
jan. 10,46,280,65,375,47,273,59,411,61,371,56,381,48,327
jan. 11,54,303,46,389,57,286,50,373,46,358,54,354,51,327
jan. 12,51,281,58,397,54,324,58,387,48,320,57,374,47,357
jan. 13,65,288,64,434,44,257,62,380,58,346,49,367,59,346
jan. 14,62,317,54,407,53,314,42,342,54,350,67,416,59,337
jan. 15,50,288,54,407,54,293,34,334,60,334,61,353,51,375
jan. 16,47,239,52,395,55,246,66,328,55,366,62,382,42,346
jan. 17,47,280,62,351,32,270,49,364,43,369,42,370,53,335
jan. 18,50,278,51,390,56,291,47,345,39,349,55,361,52,334
jan. 19,47,286,64,360,57,286,60,364,49,375,37,366,51,331
jan. 20,47,298,64,422,49,303,54,368,39,368,58,356,41,333
jan. 21,56,272,67,367,70,313,47,383,38,337,52,356,40,315
jan. 22,55,298,55,387,53,296,61,353,50,330,54,383,36,340
jan. 23,45,262,63,348,49,307,52,412,38,365,62,381,53,349
jan. 24,46,292,52,393,48,283,67,418,60,338,63,394,46,334
jan. 25,50,297,55,387,55,300,39,342,40,306,57,383,57,356
jan. 26,50,271,60,352,50,279,56,385,54,345,45,370,54,318
jan. 27,49,323,51,388,44,293,39,405,58,314,58,375,64,347
jan. 28,49,290,60,347,56,266,47,350,57,342,48,386,42,331
jan. 29,51,278,48,399,53,241,50,339,57,335,58,388,50,316
jan. 30,55,280,53,358,52,270,49,358,49,333,55,370,45,332
jan. 31,41,323,45,362,73,303,59,349,50,301,50,381,53,339
fev. 1,48,284,49,336,56,295,53,357,43,322,56,345,39,342
fev. 2,48,298,47,376,49,279,42,343,52,337,53,345,42,339
fev. 3,44,292,43,355,40,284,50,327,40,333,52,317,63,332
fev. 4,47,287,49,358,42,273,55,331,45,331,54,326,43,335
fev. 5,50,285,51,357,46,260,45,323,63,360,60,355,47,309
fev. 6,59,307,70,355,42,277,44,301,51,323,46,382,45,299
fev. 7,43,290,52,352,47,286,47,304,51,357,44,351,52,297
fev. 8,40,285,47,370,47,291,46,276,60,345,51,332,55,282
fev. 9,56,260,52,398,45,306,56,272,49,363,50,353,31,297
fev. 10,65,316,61,370,50,286,64,303,42,340,44,335,55,276
fev. 11,53,295,57,384,45,315,61,321,46,342,66,382,43,281
fev. 12,52,279,48,375,48,287,51,319,60,352,48,340,40,296
fev. 13,67,302,53,364,45,290,50,317,43,375,43,323,37,296
fev. 14,60,316,54,351,40,262,35,269,61,354,59,330,47,268
fev. 15,52,294,52,364,38,270,46,291,56,354,40,351,47,280
fev. 16,39,268,46,328,52,262,39,286,50,334,55,323,40,266
fev. 17,55,281,54,305,47,284,44,286,50,337,50,313,45,295
fev. 18,57,258,49,361,61,276,40,319,48,347,37,331,42,256
fev. 19,53,277,37,365,58,289,60,293,64,343,41,353,42,287
fev. 20,43,297,35,346,45,325,48,298,51,351,54,279,44,265
fev. 21,61,270,47,335,65,287,52,277,58,356,55,322,49,282
fev. 22,44,291,48,330,61,320,32,256,53,353,54,292,33,282
fev. 23,51,263,39,366,29,289,37,298,58,327,52,328,41,271
fev. 24,60,293,54,321,51,293,47,297,53,319,47,308,38,258
fev. 25,48,295,67,346,41,262,45,267,46,346,46,307,40,273
fev. 26,57,275,51,305,39,283,46,246,50,360,49,311,40,265
fev. 27,46,328,52,359,46,284,41,263,48,350,32,299,52,296
fev. 28,51,257,41,341,50,249,41,288,48,343,41,311,38,259
fev. 29,,,,,47,276,,,,,,,31,262
mar. 1,51,282,43,326,51,294,51,250,41,335,38,313,29,292
mar. 2,62,272,51,341,50,295,42,248,33,349,58,282,34,265
mar. 3,48,270,37,310,56,319,41,270,54,313,39,315,33,277
mar. 4,49,233,45,335,46,290,40,255,43,299,57,295,41,245
mar. 5,48,246,62,293,58,302,35,273,51,296,44,290,38,260
mar. 6,46,285,42,268,43,277,52,260,49,342,40,277,34,250
mar. 7,53,262,44,307,49,260,37,256,48,271,36,298,34,250
mar. 8,48,286,46,268,47,319,43,273,34,291,55,278,30,255
mar. 9,44,266,49,289,52,317,51,270,45,278,61,278,50,275
mar. 10,49,250,41,299,52,284,56,268,44,315,43,291,54,274
mar. 11,44,274,44,274,52,284,38,249,45,290,42,292,47,293
mar. 12,48,268,40,292,51,288,44,252,63,294,46,292,39,294
mar. 13,48,278,49,281,45,286,32,241,49,295,56,264,44,274
mar. 14,50,267,41,310,50,291,42,262,58,305,39,296,39,280
mar. 15,46,244,35,272,49,287,44,263,40,304,41,231,37,255
mar. 16,44,252,45,258,41,247,58,285,52,266,40,298,41,295
mar. 17,46,257,43,268,38,261,54,269,42,286,45,272,43,291
mar. 18,50,252,41,276,59,274,38,273,60,274,44,252,32,281
mar. 19,44,244,47,302,51,308,47,250,39,257,37,285,34,321
mar. 20,53,284,48,263,51,284,40,269,39,255,51,282,34,312
mar. 21,40,241,50,307,46,275,47,268,41,276,56,282,38,281
mar. 22,35,252,49,291,47,290,47,245,41,284,48,249,36,286
mar. 23,39,218,53,268,54,277,43,246,44,299,48,271,40,276
mar. 24,36,251,49,252,39,286,52,236,29,304,33,262,50,317
mar. 25,36,276,47,231,39,294,51,232,43,288,44,254,40,310
mar. 26,41,220,35,259,51,267,48,257,51,311,44,274,38,336
mar. 27,49,237,39,260,48,263,52,245,43,308,49,260,39,304
mar. 28,52,236,41,278,35,286,51,267,52,284,40,235,27,300
mar. 29,51,237,42,238,46,266,46,239,50,271,28,255,43,299
mar. 30,44,247,51,280,58,248,38,238,48,277,48,300,45,312
mar. 31,38,252,34,284,46,268,46,257,48,263,37,270,40,330
abr. 1,58,272,48,269,60,271,36,238,41,310,40,290,45,326
abr. 2,42,298,51,288,40,282,33,231,48,346,32,276,43,328
abr. 3,56,275,47,281,34,274,42,259,43,299,39,226,41,337
abr. 4,48,211,43,233,44,272,60,274,46,305,39,246,60,313
abr. 5,33,261,42,237,52,291,41,245,58,278,44,266,44,284
abr. 6,42,273,47,271,35,273,43,257,33,289,56,235,39,327
abr. 7,48,255,65,223,46,279,40,254,47,273,59,266,55,324
abr. 8,49,270,48,248,42,262,42,234,40,256,55,280,40,330
abr. 9,39,255,30,223,52,282,42,248,34,282,43,242,51,309
abr. 10,37,256,41,195,47,259,61,256,60,258,52,271,45,288
abr. 11,49,242,41,237,53,288,47,260,43,285,39,260,30,283
abr. 12,41,246,30,245,55,256,51,264,48,295,37,260,33,319
abr. 13,41,234,52,253,41,242,38,224,46,289,54,239,49,299
abr. 14,35,271,47,218,44,296,44,251,46,273,29,275,25,301
abr. 15,40,263,47,236,45,250,44,232,43,294,51,274,45,291
abr. 16,44,273,36,236,48,264,27,246,45,277,54,259,42,295
abr. 17,41,274,41,255,44,249,65,243,53,267,51,268,35,302
abr. 18,37,230,47,230,46,242,37,214,39,264,25,249,,
abr. 19,38,251,50,195,38,253,38,216,46,275,38,250,,
abr. 20,38,212,31,193,40,284,35,230,41,280,51,253,,
abr. 21,52,228,42,206,38,218,35,209,36,280,46,265,,
abr. 22,43,230,46,239,46,229,41,210,40,261,52,274,,
abr. 23,44,224,44,239,39,259,41,221,47,272,49,259,,
abr. 24,48,239,38,240,47,215,35,255,55,266,52,267,,
abr. 25,41,192,43,227,33,244,48,249,44,259,34,236,,
abr. 26,39,231,44,185,61,257,38,202,53,255,46,247,,
abr. 27,63,248,46,218,42,250,34,225,30,261,40,233,,
abr. 28,46,243,30,211,44,271,49,253,43,246,48,257,,
abr. 29,45,230,42,196,32,236,41,217,36,258,45,253,,
abr. 30,50,236,46,223,41,259,53,207,42,240,42,275,,
mai. 1,43,246,38,234,39,222,51,269,36,222,37,237,,
mai. 2,48,209,56,238,47,229,38,213,47,234,50,218,,
mai. 3,35,252,31,222,46,232,40,261,51,235,38,260,,
mai. 4,48,250,50,223,60,260,41,253,47,261,43,267,,
mai. 5,40,235,49,221,34,250,43,258,38,264,42,274,,
mai. 6,42,230,51,234,47,222,43,227,46,248,38,240,,
mai. 7,42,217,46,240,40,207,38,251,51,270,55,255,,
mai. 8,44,230,45,243,37,242,44,214,37,272,40,240,,
mai. 9,31,213,58,229,32,253,58,227,52,243,33,213,,
mai. 10,45,214,49,216,35,243,39,224,45,245,38,298,,
